carrier,airport,scheduled_departure,actual_departure,delay,date,day,month
Air Canada,YYT,2025-01-04T02:25:00Z,2025-01-04T02:53:00Z,28,2025-01-04,4,Jan
Porter Airlines,YWG,2025-03-25T10:10:00Z,2025-03-25T10:19:00Z,9,2025-03-25,25,Mar
Air Canada,YYC,2025-01-01T18:25:00Z,2025-01-01T18:41:00Z,16,2025-01-01,1,Jan
Air Canada,YOW,2025-02-03T15:15:00Z,2025-02-03T15:52:00Z,37,2025-02-03,3,Feb
Canadian North,YQB,2025-10-23T10:15:00Z,2025-10-23T10:47:00Z,32,2025-10-23,23,Oct
PAL Airlines,YVR,2025-11-20T18:35:00Z,2025-11-20T19:14:00Z,39,2025-11-20,20,Nov
Porter Airlines,YQR,2025-03-14T17:15:00Z,2025-03-14T17:22:00Z,7,2025-03-14,14,Mar
Canadian North,YWG,2025-02-27T16:50:00Z,2025-02-27T17:05:00Z,15,2025-02-27,27,Feb
Porter Airlines,YYZ,2025-10-05T09:55:00Z,2025-10-05T10:09:00Z,14,2025-10-05,5,Oct
Air Canada,YUL,2025-12-15T15:20:00Z,2025-12-15T15:48:00Z,28,2025-12-15,15,Dec
Porter Airlines,YUL,2025-04-19T09:40:00Z,2025-04-19T09:45:00Z,5,2025-04-19,19,Apr
WestJet,YYC,2025-09-21T18:50:00Z,2025-09-21T19:06:00Z,16,2025-09-21,21,Sep
WestJet,YUL,2025-07-08T15:10:00Z,2025-07-08T15:38:00Z,28,2025-07-08,8,Jul
Air Canada,YYT,2025-04-26T07:45:00Z,2025-04-26T07:59:00Z,14,2025-04-26,26,Apr
Jazz Aviation,YYZ,2025-01-05T09:20:00Z,2025-01-05T09:42:00Z,22,2025-01-05,5,Jan
Air Transat,YUL,2025-12-18T05:50:00Z,2025-12-18T06:12:00Z,22,2025-12-18,18,Dec
WestJet,YVR,2025-11-01T13:15:00Z,2025-11-01T13:41:00Z,26,2025-11-01,1,Nov
WestJet,YQB,2025-08-14T11:50:00Z,2025-08-14T11:56:00Z,6,2025-08-14,14,Aug
Air Transat,YUL,2025-09-29T17:55:00Z,2025-09-29T18:21:00Z,26,2025-09-29,29,Sep
Air Canada,YKF,2025-02-04T13:10:00Z,2025-02-04T13:41:00Z,31,2025-02-04,4,Feb
Air Canada,YUL,2025-08-28T18:10:00Z,2025-08-28T18:41:00Z,31,2025-08-28,28,Aug
Porter Airlines,YYC,2025-04-08T14:40:00Z,2025-04-08T14:47:00Z,7,2025-04-08,8,Apr
Air Canada,YYZ,2025-02-26T15:40:00Z,2025-02-26T17:12:00Z,92,2025-02-26,26,Feb
Air Canada,YQB,2025-12-07T16:15:00Z,2025-12-07T17:10:00Z,55,2025-12-07,7,Dec
WestJet,YVR,2025-11-11T08:00:00Z,2025-11-11T08:06:00Z,6,2025-11-11,11,Nov
Air Canada,YVR,2025-05-22T06:55:00Z,2025-05-22T07:13:00Z,18,2025-05-22,22,May
Air Canada,YYZ,2025-03-23T17:40:00Z,2025-03-23T18:44:00Z,64,2025-03-23,23,Mar
Porter Airlines,YUL,2025-12-29T10:10:00Z,2025-12-29T10:28:00Z,18,2025-12-29,29,Dec
Air Canada,YVR,2025-11-30T20:25:00Z,2025-11-30T20:32:00Z,7,2025-11-30,30,Nov
Air Canada,YYZ,2025-11-26T21:40:00Z,2025-11-26T21:58:00Z,18,2025-11-26,26,Nov
Air Canada,YUL,2025-10-17T21:45:00Z,2025-10-17T22:08:00Z,23,2025-10-17,17,Oct
Flair Airlines,YVR,2025-09-16T15:55:00Z,2025-09-16T16:22:00Z,27,2025-09-16,16,Sep
WestJet,YHZ,2025-02-03T15:45:00Z,2025-02-03T16:02:00Z,17,2025-02-03,3,Feb
Air Canada,YQB,2025-11-11T07:30:00Z,2025-11-11T07:47:00Z,17,2025-11-11,11,Nov
Air Canada,YVR,2025-07-26T07:40:00Z,2025-07-26T07:54:00Z,14,2025-07-26,26,Jul
WestJet,YEG,2025-05-20T11:45:00Z,2025-05-20T11:54:00Z,9,2025-05-20,20,May
Jazz Aviation,YYZ,2025-12-27T17:45:00Z,2025-12-27T18:01:00Z,16,2025-12-27,27,Dec
Canadian North,YVR,2025-04-03T17:15:00Z,2025-04-03T17:45:00Z,30,2025-04-03,3,Apr
Jazz Aviation,YUL,2025-02-24T13:50:00Z,2025-02-24T14:09:00Z,19,2025-02-24,24,Feb
Air Transat,YYZ,2025-08-10T17:55:00Z,2025-08-10T18:22:00Z,27,2025-08-10,10,Aug
WestJet,YOW,2025-06-21T14:50:00Z,2025-06-21T15:16:00Z,26,2025-06-21,21,Jun
WestJet,YHZ,2025-10-07T07:15:00Z,2025-10-07T07:25:00Z,10,2025-10-07,7,Oct
Flair Airlines,YVR,2025-07-26T05:20:00Z,2025-07-26T05:37:00Z,17,2025-07-26,26,Jul
Jazz Aviation,YYC,2025-05-19T16:25:00Z,2025-05-19T17:06:00Z,41,2025-05-19,19,May
Flair Airlines,YVR,2025-05-15T13:45:00Z,2025-05-15T14:04:00Z,19,2025-05-15,15,May
Porter Airlines,YYC,2025-04-12T09:00:00Z,2025-04-12T10:14:00Z,74,2025-04-12,12,Apr
Flair Airlines,YYZ,2025-08-28T15:15:00Z,2025-08-28T15:49:00Z,34,2025-08-28,28,Aug
Jazz Aviation,YYC,2025-06-10T12:25:00Z,2025-06-10T12:46:00Z,21,2025-06-10,10,Jun
PAL Airlines,YUL,2025-08-14T13:05:00Z,2025-08-14T13:31:00Z,26,2025-08-14,14,Aug
Air Canada,YUL,2025-11-08T06:50:00Z,2025-11-08T07:04:00Z,14,2025-11-08,8,Nov
Air Canada,YVR,2025-12-03T15:10:00Z,2025-12-03T15:38:00Z,28,2025-12-03,3,Dec
PAL Airlines,YYZ,2025-07-05T17:15:00Z,2025-07-05T17:28:00Z,13,2025-07-05,5,Jul
Jazz Aviation,YYC,2025-08-29T12:20:00Z,2025-08-29T12:29:00Z,9,2025-08-29,29,Aug
Air Canada,YYT,2025-02-20T17:45:00Z,2025-02-20T18:18:00Z,33,2025-02-20,20,Feb
Flair Airlines,YYZ,2025-11-18T10:15:00Z,2025-11-18T10:26:00Z,11,2025-11-18,18,Nov
WestJet,YOW,2025-03-05T20:10:00Z,2025-03-05T20:32:00Z,22,2025-03-05,5,Mar
Canadian North,YYZ,2025-10-13T18:55:00Z,2025-10-13T19:19:00Z,24,2025-10-13,13,Oct
Air Canada,YHZ,2025-07-03T08:20:00Z,2025-07-03T08:42:00Z,22,2025-07-03,3,Jul
Air Canada,YWG,2025-11-01T14:20:00Z,2025-11-01T14:44:00Z,24,2025-11-01,1,Nov
Flair Airlines,YOW,2025-12-04T14:10:00Z,2025-12-04T14:51:00Z,41,2025-12-04,4,Dec
WestJet,YYC,2025-02-04T18:40:00Z,2025-02-04T18:53:00Z,13,2025-02-04,4,Feb
PAL Airlines,YVR,2025-12-18T06:45:00Z,2025-12-18T07:13:00Z,28,2025-12-18,18,Dec
Air Canada,YEG,2025-02-13T15:15:00Z,2025-02-13T15:32:00Z,17,2025-02-13,13,Feb
Porter Airlines,YYT,2025-12-13T20:25:00Z,2025-12-13T20:43:00Z,18,2025-12-13,13,Dec
Porter Airlines,YVR,2025-12-03T14:15:00Z,2025-12-03T14:43:00Z,28,2025-12-03,3,Dec
Flair Airlines,YVR,2025-07-29T17:25:00Z,2025-07-29T17:38:00Z,13,2025-07-29,29,Jul
Porter Airlines,YQR,2025-02-17T10:55:00Z,2025-02-17T11:05:00Z,10,2025-02-17,17,Feb
Air Canada,YVR,2025-05-29T10:05:00Z,2025-05-29T10:41:00Z,36,2025-05-29,29,May
WestJet,YOW,2025-09-19T15:45:00Z,2025-09-19T15:49:00Z,4,2025-09-19,19,Sep
WestJet,YUL,2025-01-31T16:50:00Z,2025-01-31T17:27:00Z,37,2025-01-31,31,Jan
Air Transat,YYZ,2025-10-15T16:40:00Z,2025-10-15T16:49:00Z,9,2025-10-15,15,Oct
Air Canada,YYZ,2025-04-04T10:55:00Z,2025-04-04T11:09:00Z,14,2025-04-04,4,Apr
Jazz Aviation,YVR,2025-04-05T09:30:00Z,2025-04-05T09:51:00Z,21,2025-04-05,5,Apr
WestJet,YQR,2025-08-12T08:10:00Z,2025-08-12T08:16:00Z,6,2025-08-12,12,Aug
WestJet,YYZ,2025-04-14T07:45:00Z,2025-04-14T07:53:00Z,8,2025-04-14,14,Apr
Air Transat,YVR,2025-05-19T14:10:00Z,2025-05-19T14:41:00Z,31,2025-05-19,19,May
PAL Airlines,YEG,2025-04-07T13:00:00Z,2025-04-07T13:09:00Z,9,2025-04-07,7,Apr
Flair Airlines,YEG,2025-08-28T08:00:00Z,2025-08-28T08:26:00Z,26,2025-08-28,28,Aug
Flair Airlines,YWG,2025-10-21T12:45:00Z,2025-10-21T13:17:00Z,32,2025-10-21,21,Oct
Air Canada,YVR,2025-11-10T22:30:00Z,2025-11-10T22:37:00Z,7,2025-11-10,10,Nov
Air Transat,YHZ,2025-08-14T08:30:00Z,2025-08-14T08:40:00Z,10,2025-08-14,14,Aug
Air Transat,YXE,2025-01-12T13:25:00Z,2025-01-12T13:39:00Z,14,2025-01-12,12,Jan
WestJet,YVR,2025-10-04T13:10:00Z,2025-10-04T13:20:00Z,10,2025-10-04,4,Oct
Air Canada,YYC,2025-04-26T12:50:00Z,2025-04-26T13:15:00Z,25,2025-04-26,26,Apr
Air Transat,YEG,2025-05-01T12:00:00Z,2025-05-01T12:09:00Z,9,2025-05-01,1,May
Air Canada,YWG,2025-06-25T09:20:00Z,2025-06-25T09:51:00Z,31,2025-06-25,25,Jun
WestJet,YQR,2025-08-06T14:55:00Z,2025-08-06T15:01:00Z,6,2025-08-06,6,Aug
Canadian North,YYT,2025-10-16T08:40:00Z,2025-10-16T08:49:00Z,9,2025-10-16,16,Oct
WestJet,YKF,2025-05-04T09:20:00Z,2025-05-04T09:39:00Z,19,2025-05-04,4,May
Jazz Aviation,YWG,2025-09-20T06:30:00Z,2025-09-20T06:37:00Z,7,2025-09-20,20,Sep
WestJet,YYZ,2025-06-15T15:15:00Z,2025-06-15T15:27:00Z,12,2025-06-15,15,Jun
Porter Airlines,YYZ,2025-05-19T09:30:00Z,2025-05-19T09:36:00Z,6,2025-05-19,19,May
Air Canada,YQT,2025-06-30T14:45:00Z,2025-06-30T15:56:00Z,71,2025-06-30,30,Jun
Jazz Aviation,YYZ,2025-01-21T05:15:00Z,2025-01-21T06:18:00Z,63,2025-01-21,21,Jan
Porter Airlines,YUL,2025-06-07T05:15:00Z,2025-06-07T05:38:00Z,23,2025-06-07,7,Jun
Flair Airlines,YHZ,2025-02-18T09:00:00Z,2025-02-18T09:28:00Z,28,2025-02-18,18,Feb
Porter Airlines,YXE,2025-12-19T08:05:00Z,2025-12-19T08:19:00Z,14,2025-12-19,19,Dec
Air Canada,YQB,2025-06-28T06:35:00Z,2025-06-28T06:42:00Z,7,2025-06-28,28,Jun
Air Canada,YHZ,2025-03-18T15:50:00Z,2025-03-18T16:04:00Z,14,2025-03-18,18,Mar
PAL Airlines,YUL,2025-09-07T17:15:00Z,2025-09-07T17:33:00Z,18,2025-09-07,7,Sep
Air Canada,YXX,2025-12-17T06:05:00Z,2025-12-17T06:20:00Z,15,2025-12-17,17,Dec
WestJet,YOW,2025-03-24T12:50:00Z,2025-03-24T13:59:00Z,69,2025-03-24,24,Mar
Porter Airlines,YVR,2025-01-25T17:00:00Z,2025-01-25T17:36:00Z,36,2025-01-25,25,Jan
Flair Airlines,YYZ,2025-05-28T09:55:00Z,2025-05-28T10:09:00Z,14,2025-05-28,28,May
WestJet,YHZ,2025-01-19T11:45:00Z,2025-01-19T12:03:00Z,18,2025-01-19,19,Jan
Air Canada,YYZ,2025-06-19T07:55:00Z,2025-06-19T08:13:00Z,18,2025-06-19,19,Jun
Air Canada,YYT,2025-04-30T06:05:00Z,2025-04-30T06:28:00Z,23,2025-04-30,30,Apr
WestJet,YYC,2025-06-06T08:30:00Z,2025-06-06T08:43:00Z,13,2025-06-06,6,Jun
WestJet,YYZ,2025-11-12T22:35:00Z,2025-11-12T22:49:00Z,14,2025-11-12,12,Nov
WestJet,YYZ,2025-01-06T08:05:00Z,2025-01-06T08:22:00Z,17,2025-01-06,6,Jan
WestJet,YVR,2025-01-12T08:00:00Z,2025-01-12T08:29:00Z,29,2025-01-12,12,Jan
WestJet,YQB,2025-09-04T08:00:00Z,2025-09-04T08:08:00Z,8,2025-09-04,4,Sep
Porter Airlines,YVR,2025-02-24T05:25:00Z,2025-02-24T06:09:00Z,44,2025-02-24,24,Feb
Porter Airlines,YYC,2025-04-30T13:30:00Z,2025-04-30T13:49:00Z,19,2025-04-30,30,Apr
Air Canada,YYC,2025-12-25T04:00:00Z,2025-12-25T04:17:00Z,17,2025-12-25,25,Dec
Canadian North,YOW,2025-10-13T09:20:00Z,2025-10-13T09:38:00Z,18,2025-10-13,13,Oct
Flair Airlines,YYZ,2025-12-29T19:35:00Z,2025-12-29T20:12:00Z,37,2025-12-29,29,Dec
Air Canada,YHZ,2025-05-17T13:05:00Z,2025-05-17T13:50:00Z,45,2025-05-17,17,May
Air Transat,YYZ,2025-05-21T09:30:00Z,2025-05-21T09:39:00Z,9,2025-05-21,21,May
Porter Airlines,YYZ,2025-01-29T10:10:00Z,2025-01-29T10:46:00Z,36,2025-01-29,29,Jan
Jazz Aviation,YYT,2025-12-12T17:55:00Z,2025-12-12T18:33:00Z,38,2025-12-12,12,Dec
Porter Airlines,YQR,2025-11-17T13:40:00Z,2025-11-17T13:42:00Z,2,2025-11-17,17,Nov
Jazz Aviation,YWG,2025-07-05T17:35:00Z,2025-07-05T17:43:00Z,8,2025-07-05,5,Jul
WestJet,YVR,2025-02-28T20:40:00Z,2025-02-28T21:11:00Z,31,2025-02-28,28,Feb
Air Canada,YWG,2025-07-19T17:25:00Z,2025-07-19T17:39:00Z,14,2025-07-19,19,Jul
Flair Airlines,YYC,2025-10-30T19:45:00Z,2025-10-30T20:04:00Z,19,2025-10-30,30,Oct
Air Canada,YYZ,2025-04-22T17:35:00Z,2025-04-22T17:47:00Z,12,2025-04-22,22,Apr
PAL Airlines,YYC,2025-12-06T16:00:00Z,2025-12-06T17:25:00Z,85,2025-12-06,6,Dec
WestJet,YVR,2025-11-26T12:10:00Z,2025-11-26T12:26:00Z,16,2025-11-26,26,Nov
WestJet,YVR,2025-04-19T04:25:00Z,2025-04-19T04:31:00Z,6,2025-04-19,19,Apr
Porter Airlines,YYC,2025-06-21T10:40:00Z,2025-06-21T10:47:00Z,7,2025-06-21,21,Jun
PAL Airlines,YOW,2025-05-19T08:55:00Z,2025-05-19T10:03:00Z,68,2025-05-19,19,May
Air Canada,YXE,2025-06-26T13:30:00Z,2025-06-26T13:52:00Z,22,2025-06-26,26,Jun
Porter Airlines,YYC,2025-10-07T09:20:00Z,2025-10-07T09:30:00Z,10,2025-10-07,7,Oct
WestJet,YWG,2025-09-10T07:15:00Z,2025-09-10T07:38:00Z,23,2025-09-10,10,Sep
Porter Airlines,YOW,2025-10-23T07:10:00Z,2025-10-23T07:13:00Z,3,2025-10-23,23,Oct
Air Canada,YVR,2025-01-03T20:50:00Z,2025-01-03T21:33:00Z,43,2025-01-03,3,Jan
Air Canada,YVR,2025-02-13T06:55:00Z,2025-02-13T07:20:00Z,25,2025-02-13,13,Feb
Jazz Aviation,YKF,2025-05-09T21:30:00Z,2025-05-09T21:39:00Z,9,2025-05-09,9,May
Jazz Aviation,YEG,2025-05-13T18:15:00Z,2025-05-13T18:26:00Z,11,2025-05-13,13,May
Air Transat,YYZ,2025-08-12T08:20:00Z,2025-08-12T08:41:00Z,21,2025-08-12,12,Aug
Air Canada,YUL,2025-07-12T09:45:00Z,2025-07-12T10:16:00Z,31,2025-07-12,12,Jul
Porter Airlines,YVR,2025-08-07T11:40:00Z,2025-08-07T12:18:00Z,38,2025-08-07,7,Aug
Air Canada,YKF,2025-10-25T09:35:00Z,2025-10-25T09:43:00Z,8,2025-10-25,25,Oct
Air Canada,YEG,2025-12-31T23:10:00Z,2025-12-31T23:26:00Z,16,2025-12-31,31,Dec
WestJet,YOW,2025-12-28T11:50:00Z,2025-12-28T12:51:00Z,61,2025-12-28,28,Dec
Air Transat,YVR,2025-02-24T17:15:00Z,2025-02-24T17:36:00Z,21,2025-02-24,24,Feb
Porter Airlines,YXE,2025-06-20T04:35:00Z,2025-06-20T04:51:00Z,16,2025-06-20,20,Jun
Canadian North,YYZ,2025-03-08T07:30:00Z,2025-03-08T07:40:00Z,10,2025-03-08,8,Mar
Air Canada,YYC,2025-10-07T20:20:00Z,2025-10-07T20:34:00Z,14,2025-10-07,7,Oct
Air Canada,YUL,2025-11-07T11:55:00Z,2025-11-07T12:11:00Z,16,2025-11-07,7,Nov
Air Canada,YQB,2025-10-28T09:35:00Z,2025-10-28T09:55:00Z,20,2025-10-28,28,Oct
Jazz Aviation,YYZ,2025-12-24T14:55:00Z,2025-12-24T15:12:00Z,17,2025-12-24,24,Dec
Air Canada,YYZ,2025-07-13T11:25:00Z,2025-07-13T11:40:00Z,15,2025-07-13,13,Jul
Air Canada,YXX,2025-03-01T11:00:00Z,2025-03-01T11:09:00Z,9,2025-03-01,1,Mar
Air Canada,YKF,2025-05-01T13:45:00Z,2025-05-01T13:49:00Z,4,2025-05-01,1,May
Air Canada,YYZ,2025-05-06T05:30:00Z,2025-05-06T05:41:00Z,11,2025-05-06,6,May
Flair Airlines,YEG,2025-04-13T11:35:00Z,2025-04-13T11:43:00Z,8,2025-04-13,13,Apr
Air Transat,YYC,2025-07-10T07:00:00Z,2025-07-10T07:10:00Z,10,2025-07-10,10,Jul
WestJet,YVR,2025-07-07T11:50:00Z,2025-07-07T12:17:00Z,27,2025-07-07,7,Jul
WestJet,YHZ,2025-09-15T13:10:00Z,2025-09-15T13:24:00Z,14,2025-09-15,15,Sep
WestJet,YEG,2025-07-18T12:25:00Z,2025-07-18T12:32:00Z,7,2025-07-18,18,Jul
WestJet,YWG,2025-05-05T14:00:00Z,2025-05-05T14:04:00Z,4,2025-05-05,5,May
Porter Airlines,YOW,2025-06-02T11:30:00Z,2025-06-02T12:42:00Z,72,2025-06-02,2,Jun
Porter Airlines,YHZ,2025-03-17T10:20:00Z,2025-03-17T10:32:00Z,12,2025-03-17,17,Mar
Air Canada,YVR,2025-11-12T16:10:00Z,2025-11-12T16:17:00Z,7,2025-11-12,12,Nov
Canadian North,YUL,2025-01-11T18:30:00Z,2025-01-11T18:51:00Z,21,2025-01-11,11,Jan
WestJet,YXE,2025-01-13T19:25:00Z,2025-01-13T20:00:00Z,35,2025-01-13,13,Jan
WestJet,YOW,2025-10-04T10:50:00Z,2025-10-04T10:54:00Z,4,2025-10-04,4,Oct
Air Canada,YWG,2025-07-22T10:20:00Z,2025-07-22T10:42:00Z,22,2025-07-22,22,Jul
WestJet,YUL,2025-09-02T07:20:00Z,2025-09-02T07:36:00Z,16,2025-09-02,2,Sep
WestJet,YHZ,2025-08-29T03:35:00Z,2025-08-29T03:49:00Z,14,2025-08-29,29,Aug
Air Transat,YYC,2025-06-12T12:20:00Z,2025-06-12T12:30:00Z,10,2025-06-12,12,Jun
Flair Airlines,YHZ,2025-04-23T10:10:00Z,2025-04-23T10:29:00Z,19,2025-04-23,23,Apr
WestJet,YYC,2025-02-07T05:35:00Z,2025-02-07T06:01:00Z,26,2025-02-07,7,Feb
Jazz Aviation,YYT,2025-05-08T14:45:00Z,2025-05-08T14:53:00Z,8,2025-05-08,8,May
Air Canada,YOW,2025-12-28T09:45:00Z,2025-12-28T09:58:00Z,13,2025-12-28,28,Dec
Air Canada,YYZ,2025-06-13T15:25:00Z,2025-06-13T15:54:00Z,29,2025-06-13,13,Jun
Porter Airlines,YYZ,2025-04-04T09:30:00Z,2025-04-04T09:52:00Z,22,2025-04-04,4,Apr
Jazz Aviation,YVR,2025-09-06T05:15:00Z,2025-09-06T05:24:00Z,9,2025-09-06,6,Sep
WestJet,YOW,2025-10-31T05:10:00Z,2025-10-31T05:14:00Z,4,2025-10-31,31,Oct
Air Canada,YYZ,2025-09-15T07:30:00Z,2025-09-15T07:46:00Z,16,2025-09-15,15,Sep
Porter Airlines,YYC,2025-12-28T08:10:00Z,2025-12-28T08:24:00Z,14,2025-12-28,28,Dec
Jazz Aviation,YXX,2025-05-18T15:55:00Z,2025-05-18T15:59:00Z,4,2025-05-18,18,May
WestJet,YQB,2025-10-08T04:15:00Z,2025-10-08T04:25:00Z,10,2025-10-08,8,Oct
Air Transat,YVR,2025-09-30T09:05:00Z,2025-09-30T09:13:00Z,8,2025-09-30,30,Sep
WestJet,YOW,2025-01-12T14:15:00Z,2025-01-12T14:47:00Z,32,2025-01-12,12,Jan
Air Canada,YYZ,2025-02-18T02:15:00Z,2025-02-18T02:46:00Z,31,2025-02-18,18,Feb
Porter Airlines,YYC,2025-12-04T12:30:00Z,2025-12-04T12:45:00Z,15,2025-12-04,4,Dec
WestJet,YUL,2025-08-06T10:00:00Z,2025-08-06T10:20:00Z,20,2025-08-06,6,Aug
Air Transat,YHZ,2025-05-28T10:55:00Z,2025-05-28T11:26:00Z,31,2025-05-28,28,May
Air Canada,YUL,2025-05-29T13:25:00Z,2025-05-29T13:43:00Z,18,2025-05-29,29,May
Air Canada,YHZ,2025-05-18T14:05:00Z,2025-05-18T14:32:00Z,27,2025-05-18,18,May
Canadian North,YVR,2025-08-18T10:00:00Z,2025-08-18T10:15:00Z,15,2025-08-18,18,Aug
Air Transat,YUL,2025-10-08T11:55:00Z,2025-10-08T12:28:00Z,33,2025-10-08,8,Oct
Air Transat,YVR,2025-12-14T11:05:00Z,2025-12-14T11:44:00Z,39,2025-12-14,14,Dec
Canadian North,YHZ,2025-07-05T15:35:00Z,2025-07-05T15:46:00Z,11,2025-07-05,5,Jul
Porter Airlines,YVR,2025-05-07T13:00:00Z,2025-05-07T13:05:00Z,5,2025-05-07,7,May
Air Canada,YYZ,2025-06-16T16:25:00Z,2025-06-16T16:46:00Z,21,2025-06-16,16,Jun
WestJet,YYZ,2025-09-30T13:40:00Z,2025-09-30T13:52:00Z,12,2025-09-30,30,Sep
Porter Airlines,YXE,2025-08-07T17:25:00Z,2025-08-07T18:00:00Z,35,2025-08-07,7,Aug
Flair Airlines,YOW,2025-02-18T16:55:00Z,2025-02-18T17:12:00Z,17,2025-02-18,18,Feb
WestJet,YVR,2025-07-03T16:10:00Z,2025-07-03T16:23:00Z,13,2025-07-03,3,Jul
Air Canada,YYZ,2025-09-27T08:10:00Z,2025-09-27T08:41:00Z,31,2025-09-27,27,Sep
Porter Airlines,YUL,2025-12-26T18:05:00Z,2025-12-26T18:23:00Z,18,2025-12-26,26,Dec
WestJet,YHZ,2025-02-02T07:50:00Z,2025-02-02T08:28:00Z,38,2025-02-02,2,Feb
Air Canada,YYC,2025-09-08T19:55:00Z,2025-09-08T21:35:00Z,100,2025-09-08,8,Sep
WestJet,YYZ,2025-12-19T19:00:00Z,2025-12-19T19:26:00Z,26,2025-12-19,19,Dec
Air Canada,YVR,2025-10-29T06:50:00Z,2025-10-29T06:57:00Z,7,2025-10-29,29,Oct
Porter Airlines,YYZ,2025-03-05T11:20:00Z,2025-03-05T11:42:00Z,22,2025-03-05,5,Mar
Flair Airlines,YHZ,2025-05-27T18:40:00Z,2025-05-27T19:02:00Z,22,2025-05-27,27,May
Jazz Aviation,YUL,2025-03-07T21:50:00Z,2025-03-07T22:21:00Z,31,2025-03-07,7,Mar
Air Canada,YUL,2025-12-07T06:25:00Z,2025-12-07T06:53:00Z,28,2025-12-07,7,Dec
WestJet,YYT,2025-10-29T13:45:00Z,2025-10-29T14:15:00Z,30,2025-10-29,29,Oct
Air Transat,YUL,2025-10-24T14:25:00Z,2025-10-24T14:33:00Z,8,2025-10-24,24,Oct
Air Canada,YUL,2025-02-22T08:45:00Z,2025-02-22T09:00:00Z,15,2025-02-22,22,Feb
WestJet,YYZ,2025-04-19T11:45:00Z,2025-04-19T12:19:00Z,34,2025-04-19,19,Apr
Air Canada,YYZ,2025-11-09T19:35:00Z,2025-11-09T20:00:00Z,25,2025-11-09,9,Nov
Jazz Aviation,YEG,2025-08-10T13:45:00Z,2025-08-10T13:53:00Z,8,2025-08-10,10,Aug
Porter Airlines,YUL,2025-05-25T06:30:00Z,2025-05-25T07:01:00Z,31,2025-05-25,25,May
Air Canada,YEG,2025-05-14T08:25:00Z,2025-05-14T08:36:00Z,11,2025-05-14,14,May
WestJet,YYZ,2025-01-04T20:10:00Z,2025-01-04T20:25:00Z,15,2025-01-04,4,Jan
Air Canada,YUL,2025-03-20T16:05:00Z,2025-03-20T16:20:00Z,15,2025-03-20,20,Mar
WestJet,YYC,2025-01-13T17:25:00Z,2025-01-13T17:42:00Z,17,2025-01-13,13,Jan
Air Canada,YVR,2025-10-28T08:30:00Z,2025-10-28T08:39:00Z,9,2025-10-28,28,Oct
WestJet,YYC,2025-10-13T14:20:00Z,2025-10-13T14:38:00Z,18,2025-10-13,13,Oct
Air Transat,YYT,2025-01-26T08:55:00Z,2025-01-26T09:38:00Z,43,2025-01-26,26,Jan
Air Canada,YWG,2025-05-07T15:20:00Z,2025-05-07T15:48:00Z,28,2025-05-07,7,May
Air Canada,YHZ,2025-09-06T17:05:00Z,2025-09-06T17:26:00Z,21,2025-09-06,6,Sep
Air Canada,YVR,2025-01-03T15:30:00Z,2025-01-03T15:59:00Z,29,2025-01-03,3,Jan
Flair Airlines,YUL,2025-04-12T15:40:00Z,2025-04-12T15:50:00Z,10,2025-04-12,12,Apr
Canadian North,YYT,2025-03-16T06:10:00Z,2025-03-16T06:23:00Z,13,2025-03-16,16,Mar
Air Transat,YVR,2025-10-12T11:30:00Z,2025-10-12T11:45:00Z,15,2025-10-12,12,Oct
PAL Airlines,YVR,2025-05-08T12:50:00Z,2025-05-08T13:06:00Z,16,2025-05-08,8,May
WestJet,YYZ,2025-05-27T22:35:00Z,2025-05-27T22:57:00Z,22,2025-05-27,27,May
Flair Airlines,YEG,2025-01-23T17:35:00Z,2025-01-23T17:53:00Z,18,2025-01-23,23,Jan
Air Canada,YVR,2025-07-02T16:10:00Z,2025-07-02T16:33:00Z,23,2025-07-02,2,Jul
Flair Airlines,YUL,2025-03-13T13:25:00Z,2025-03-13T13:56:00Z,31,2025-03-13,13,Mar
WestJet,YYC,2025-02-14T12:05:00Z,2025-02-14T12:49:00Z,44,2025-02-14,14,Feb
Air Canada,YQB,2025-08-01T17:45:00Z,2025-08-01T18:06:00Z,21,2025-08-01,1,Aug
Porter Airlines,YYC,2025-05-04T19:55:00Z,2025-05-04T20:19:00Z,24,2025-05-04,4,May
WestJet,YUL,2025-03-06T09:55:00Z,2025-03-06T10:22:00Z,27,2025-03-06,6,Mar
Air Canada,YXE,2025-05-02T21:55:00Z,2025-05-02T22:14:00Z,19,2025-05-02,2,May
Air Canada,YEG,2025-08-27T15:55:00Z,2025-08-27T16:41:00Z,46,2025-08-27,27,Aug
WestJet,YYT,2025-08-04T08:55:00Z,2025-08-04T09:06:00Z,11,2025-08-04,4,Aug
WestJet,YYC,2025-10-26T18:05:00Z,2025-10-26T18:16:00Z,11,2025-10-26,26,Oct
WestJet,YUL,2025-01-25T15:45:00Z,2025-01-25T16:00:00Z,15,2025-01-25,25,Jan
Porter Airlines,YHZ,2025-11-20T13:10:00Z,2025-11-20T13:31:00Z,21,2025-11-20,20,Nov
Air Transat,YQT,2025-05-18T11:00:00Z,2025-05-18T11:10:00Z,10,2025-05-18,18,May
WestJet,YYZ,2025-12-01T02:30:00Z,2025-12-01T03:03:00Z,33,2025-12-01,1,Dec
Flair Airlines,YYC,2025-01-31T23:35:00Z,2025-02-01T01:32:00Z,117,2025-01-31,31,Jan
